Nodes ,,,,,,,,,,,,,,,32,,,,,,,,Cross sectional Area,,7.65,square in,
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs,,real forces,,purlins lbs,tributary areas,plywood and shingles,,snow distributary areas,snow loads,live loads,,,Reaction Forces,,,Internal Forces,,Normal Stress = P/A,,,Max
0,-60.30420342,10,pin,0,-4.093,0;6,,-4.093,,300,128.15,3.7,474.16,115.5,3696,800,,n0 x,0,,0,35.49,,4.639215686,4.639215686,,5.14379085
1,-8.083945414,10,roller_no_ydisp,0,-4.093,5;11,,-4.093,,300,128.15,,474.16,115.5,3696,800,,n0y,21.085588,,1,28.69,,3.750326797,3.750326797,,
2,-34.19407442,22.5,,0,-7.423,8;9;12;13;15,,-7.423,,600,283.53,,1049.06,255.75,8184,800,,n1y,21.085412,,2,21.23,,2.775163399,2.775163399,,
3,-34.19407442,10,,0,0,2;3;12,,0,,,,,,,,,,,,,3,21.23,,2.775163399,2.775163399,,
4,-42.89588292,10,,0,0,1;2;13;17,,0,,,,,,,,,,,,,4,28.69,,3.750326797,3.750326797,,
5,-51.60082708,10,,0,0,0;1;14;18,,0,,,,,,,,,,,,,5,35.49,,4.639215686,4.639215686,,
6,-43.49745075,18.04608849,,0,-6.771,7;8;14;17,,-6.771,,300,269.91,,998.67,244.75,7832,800,,,,,6,-39.35,,-5.14379085,5.14379085,,
7,-25.49069808,10,,0,0,3;4;15;19,,0,,,,,,,,,,,,,7,-38.83,,-5.075816993,5.075816993,,
8,-24.89069808,18.04608849,,0,-6.771,9;10;16;19,,-6.771,,300,269.91,,998.67,244.75,7832,800,,,,,8,-31.01,,-4.053594771,4.053594771,,
9,-16.78732175,10,,0,0,4;5;16;20,,0,,,,,,,,,,,,,9,-31.01,,-4.053594771,4.053594771,,
10,-51.90153242,14.02270657,,0,-6.51,6;7;18,,-6.51,,300,256.3,,948.31,231,7392,800,,,,,10,-38.83,,-5.075816993,5.075816993,,
11,-16.48732175,14.02304424,,0,-6.51,10;11;20,,-6.51,,300,256.3,,948.31,231,7392,800,,,,,11,-39.35,,-5.14379085,5.14379085,,
Beams,,,,,,,,,,,,,,,,,,,,,12,0,,0,0,,
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir,,,,,,,,,,,,,,13,11.79,,1.541176471,1.541176471,,
0,0,5,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,14,8.92,,1.166013072,1.166013072,,
1,5,4,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,15,11.8,,1.54248366,1.54248366,,
2,4,3,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,16,8.92,,1.166013072,1.166013072,,
3,3,7,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,17,-9.71,,-1.269281046,1.269281046,,
4,7,9,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,18,-6.3,,-0.823529412,0.823529412,,
5,9,1,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,19,-9.71,,-1.269281046,1.269281046,,
6,0,10,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,20,-6.3,,-0.823529412,0.823529412,,
7,10,6,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,,,,,,,
8,6,2,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,,,,,,,
9,2,8,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,,,,,,,
10,8,11,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,,,,,,,
11,11,1,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,,,,,,,
12,3,2,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,,,,,,,
13,4,2,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,,,,,,,
14,5,6,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,,,,,,,
15,2,7,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,,,,,,,
16,8,9,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,,,,,,,
17,6,4,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,,,,,,,
18,10,5,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,,,,,,,
19,7,8,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,,,,,,,
20,9,11,W Shapes:W12X26,Steel ASTM A992,,,,,,,,,,,,,,,,,,,,,,,
